Station	Time	MUFD	M(D)	TEC	foF2	hmF2	foE	Confidence	Longitude	Latitude
Austin, TX, USA	2022-12-13T18:10:05+00:00	29.296	3.447	16.717	8.5	223.3	3.42	75	262.3	30.4
Boulder, CO, USA	2022-12-13T18:00:05+00:00	31.919	3.547	12.865	9	232.3		75	254.7	40
Sopron, Hungary	2022-12-13T18:00:05+00:00	10.438	3.479		3	248.493		70	16.72	47.63
Roquetes, Spain	2022-12-13T18:00:01+00:00	13.089	3.356		3.9	259.824		90	0.5	40.8
Dourbes, Belgium	2022-12-13T18:00:01+00:00	9.424	2.856		3.3	305.167		100	4.6	50.1
Athens, Greece	2022-12-13T18:00:00+00:00	8.951	3.157		2.835			0	23.5	38
Millstone Hill, MA, USA	2022-12-13T18:00:00+00:00	35.052	3.370		10.4	246.411	3.005	90	288.5	42.6
Pruhonice, Czech Republic	2022-12-13T18:00:00+00:00	9.891	3.243		3.05	275.76		100	14.6	50
Nicosia, Cyprus	2022-12-13T18:00:00+00:00	11.174	3.604		3.1	241.391		70	33.16	35.03
Alpena MI, USA	2022-12-13T18:00:00+00:00	33.321	3.462		9.625	230.311	2.75	90	276.44	45.07
Eglin AFB, FL, USA	2022-12-13T18:00:00+00:00	27.204	3.872		7.025	183.925	3.2	45	273.5	30.5
Eielson AFB AK, USA	2022-12-13T18:00:00+00:00	7.909	3.228		2.45	268.008		65	212.93	64.66
Pt Arguello, CA, USA	2022-12-13T18:00:00+00:00	34.413	3.632		9.475	225.28	3.125	95	239.5	34.8
San Vito, Italy	2022-12-13T18:00:00+00:00	9.759	3.074		3.175	325.902		70	17.8	40.6
Santa Maria, Brazil	2022-12-13T18:00:00+00:00	32.664	3.004		10.875	287.182		85	306.29	-29.73
Lualualei, Hawaii	2022-12-13T18:00:00+00:00	22.168	2.966	19.221	7.488	288.24	2.355	100	201.85	21.43
EISCAT Tromso, Norway	2022-12-13T18:00:00+00:00	5.9280231564892	2.73432802421089	1.072	2.168	371.215		-1	19.22	69.58
Eareckson Air Station	2022-12-13T18:00:00+00:00	8.642	2.929		2.95	326.581		90	185.92	52.73
Rome, Italy RA041	2022-12-13T18:00:00+00:00	10.7	3.34		3.2	267	1	-1	12.5	41.8
Juliusruh, Germany	2022-12-13T17:58:16+00:00	9.579	3.090		3.1	299.532		50	13.4	54.6
Jang Bogo, Antartica	2022-12-13T17:55:12+00:00	15.4512297233502	3.08592564876178	12.628	5.007	296.302	2.811	-1	164.24	-74.62
Wallops Island, VA, USA	2022-12-13T17:55:08+00:00	31.858	3.389	18.953	9.4	237.4	3.06	0	284.5	37.9
Grahamstown, South Africa	2022-12-13T17:55:00+00:00	23.897	3.319		7.2	268.809		100	26.5	-33.3
Hermanus, South Africa	2022-12-13T17:55:00+00:00	25.46	3.233		7.875	273.996		90	19.22	-34.42
Yamagawa, Japan	2022-12-13T17:55:00+00:00	7.96830022099218	2.8611490919182		2.785	341.632		-1	130.6	31.2
Wakanai, Japan	2022-12-13T17:55:00+00:00	9.06660056716548	3.10925945376045		2.916	292.039		-1	141.7	45.4
Gakona, AK, USA	2022-12-13T17:52:40+00:00	9.545	3.263		2.925	276.716		20	215	62.38
Learmonth, Australia	2022-12-13T17:52:30+00:00	18.881	2.905		6.5			0	114.1	-21.8
Ascension Island	2022-12-13T17:52:30+00:00	41.113	2.835		14.5	335.75	2.725	95	345.6	-7.95
Al Dhafra AFB	2022-12-13T17:52:30+00:00	14.909	3.593		4.15	246.343		95	54.58	24.24
Cachoeira Paulista, Brazil	2022-12-13T17:50:00+00:00	31.568	2.857		11.05	312.325	3.51	85	315	-22.7
Fortaleza, Brazil	2022-12-13T17:50:00+00:00	27.771	2.513		11.05	383.815	3.41	100	321.6	-3.9
Bahia Blanca, Argentina	2022-12-13T17:50:00+00:00	33.7	2.81		12			-1	297.7	-38.7
Poker Flat, AK, USA	2022-12-13T17:45:05+00:00	8.703	3.194		2.725	276.227		65	212.55	65.13
Jeju Island, Korea	2022-12-13T17:45:00+00:00	8.881	2.797	2.36	3.175	355.693		100	126.3	33.43
Idaho Natl Lab, ID, USA	2022-12-13T17:45:00+00:00	29.194	3.672	9.192	7.963	222.388	3.03	75	247.32	43.81
Rome, Italy	2022-12-13T17:45:00+00:00	10.85	3.5		3.1			-1	12.5	41.8
Tromso, Norway	2022-12-13T17:45:00+00:00	7.49	2.937	1.065	2.55	328.4		0	19.2	69.6
Warsaw, Poland	2022-12-13T17:45:00+00:00	9.86	3.4		2.9		0.5	-1	21.1	52.2
Canberra, Australia	2022-12-13T17:45:00+00:00	16.975	2.94		5.774	310.816		-1	149	-35.32
Hobart, Australia	2022-12-13T17:45:00+00:00	15.838	2.857		5.544	330.495		-1	147.32	-42.92
Gibilmanna, Italy	2022-12-13T17:45:00+00:00	13.7	3.81		3.6	220	1	-1	14	37.9
Thule, Greenland	2022-12-13T17:45:00+00:00	15.02		3.7	4.975	298.1		70	291.56	76.54
Townsville, Australia	2022-12-13T17:42:00+00:00	24.519	2.846		8.615	345.02		-1	146.85	-19.63
Perth, Australia	2022-12-13T17:40:00+00:00	17.238	2.894		5.955	324.022		-1	116.13	-32
Cocos Island	2022-12-13T17:40:00+00:00	32.898	3.066		10.729	305.571		-1	96.83	-12.18
Brisbane, Australia	2022-12-13T17:40:00+00:00	20.802	2.766		7.52	352.932		-1	153.06	-27.06
Okinawa, Japan	2022-12-13T17:40:00+00:00	8.68610392410225	2.7920616920933		3.111	357.341		-1	127.8	26.33
I-Cheon, South Korea	2022-12-13T17:30:00+00:00	10.052	2.812	2.406	3.575	344.097		25	127.54	37.14
Darwin, Galápagos Islands	2022-12-13T17:30:00+00:00	26.388486753897	3.05847088014568		8.628	301.416		-1	130.95	-12.45
Niue Island	2022-12-13T17:30:00+00:00	24.5023298354428	3.2621927620081		7.511	265.852	2.386	-1	190.07	-19.07
Rome, Italy RO041	2022-12-13T17:30:00+00:00	11.873	3.392	2.717	3.5	256.048		100	12.5	41.8
Kokubunji, Japan	2022-12-13T17:30:00+00:00	8.86287583982815	2.78444104298717		3.183	359.132		-1	139.5	35.7
Tucuman, Argentina TUJ2O	2022-12-13T17:30:00+00:00	31	2.58		12			-1	294.6	-26.9
Norfolk, Australia	2022-12-13T17:15:00+00:00	20.558	2.778		7.4	357.264		-1	167.97	-29.03
Learmonth	2022-12-13T17:00:00+00:00	23.061	2.984		7.728	314.599		-1	114.1	-22.2
Mawson Station, Antarctica	2022-12-13T16:00:00+00:00				5.26			-1	62.88	-67.6
Sodankyla, Finland	2022-12-13T14:46:00+00:00	9.38675761051206	3.44468169193103		2.725	238.091		-1	26.6	67.4
Wake Island	2022-12-05T16:00:00+00:00	16.689	3.272		5.1	280.539		60	166.647	19.294
Fairford, England	2022-12-02T06:37:30+00:00	8.034	3.246	0.941	2.475	276.966		100	358.5	51.7
El Arenosillo, Spain	2022-11-25T07:35:01+00:00	22.116	3.51	6.581	6.3	243.088		75	353.3	37.1
Casey, Antarctica	2022-11-21T20:00:00+00:00	21.303	3.135		11.025			-1	110.53	-66.28
Boa Vista, Brazil	2022-10-31T19:20:00+00:00	35.11	2.553		13.775	383.526	3.21	95	299.3	2.8
Chilton, United Kingdom	2022-10-17T07:50:00+00:00	25.109	4.15	3.052	6.05	197.5		100	359.4	51.5
Guam, USA	2022-09-19T12:52:30+00:00	26.92	3.234	7.67	8.325	313.185		0	144.86	13.62
HAJ43	2022-09-16T22:00:05+00:00	28.562	3.038	22.129	9.4	292.4	2.42	50	288.8	42.45
Sao Luis, Brazil	2022-08-07T13:40:00+00:00	33.351	2.951	40.126	11.325	303.799	3.46	75	315.8	-2.6
Jicamarca, Peru	2022-07-18T13:15:00+00:00							0	283.2	-12
Moscow, Russia MA155	2022-06-16T08:15:00+00:00	17.5	2.97		5.9	275	3.3	-1	37.3	55.5
Magadan, Russia MA560	2022-03-30T06:00:01+00:00	24.18			7.45	249	2.84	100	150.93	60.09
Elektrougli, Russia	2022-03-30T06:00:00+00:00	19.22			6.31	276	2.74	-1	38.28	55.76
Khabarovsk, Russia KB547	2022-03-30T06:00:00+00:00				8.73	324	3.1	-1	134.77	47.52
Petropavlovsk, Russia	2022-03-30T06:00:00+00:00				7.72	317	2.57	-1	158.24	52.97
Novosibirsk, Russia	2022-03-30T05:30:00+00:00				13.94	388	3.2	-1	82.21	55.02
Kaliningrad, Russia	2022-03-29T19:14:57+00:00				7.03	334		-1	20.12	54.36
Moscow, Russia	2022-03-26T09:01:00+00:00	24.81	3.328	13.334	7.472	240.976	2.947	75	37.3	55.47
Ramey, Puerto Rico	2022-03-22T18:15:05+00:00	40.892	3.258	33.078	12.55	266.6	3.41	0	292.9	18.5
Scott Base, Antarctica	2022-02-12T23:00:00+00:00							-1	166.78	-77.85
Wallops Island, VA, USA WI937	2021-12-06T22:00:01+00:00	15.5452144697038	3.48547409634614	3.572	4.46	232.338		-1	284.422	37.936
Belem, Brazil	2021-11-11T20:30:00+00:00	22.09	2.71	21.967	8.15	339.219		75	311.56	1.43
Murmansk, Russia	2021-08-23T16:00:01+00:00	14.19	3.3		4.3			-1	33	69
Salekhard, Russia	2021-08-23T16:00:01+00:00	12.8	3.2		4			-1	66.5	66.5
Dikson	2021-08-23T15:00:01+00:00	3.2			4.4			-1	80.4	73.5
Magadan, Russia	2021-08-23T15:00:01+00:00	9.3	3.1		3			-1	151	60
Tomsk, Russia	2021-08-23T15:00:01+00:00	16.66	3.4		4.9			-1	84.9	56.5
Ashkhabad	2021-08-23T12:00:01+00:00	3			8.2			-1	58.3	37.9
Khabarovsk, Russia	2021-08-23T09:00:01+00:00	16.32	3.4		4.8			-1	135.1	48.5
Beijing, China	2021-08-22T23:00:01+00:00				5			-1	116.2	40.3
Chongqing, China	2021-08-22T23:00:01+00:00				4.2			-1	106.4	29.5
Guangzhou, China	2021-08-22T23:00:01+00:00				4.8			-1	113.4	23.1
Hainan, China	2021-08-22T23:00:01+00:00				4.6			-1	109.3	18.3
Manzhouli, China	2021-08-22T21:00:01+00:00				3.2			-1	117.5	49.6
Camden, Australia	2020-12-30T12:00:00+00:00	18.4018612158635	2.72257156618783		6.759	374.129		-1	150.67	-34.05
San Juan, Puerto Rico	2020-07-29T23:04:02+00:00			3.291	8.021	276.891		-1	293.75	18.11
IS141	2018-04-23T21:24:07+00:00		7.05622506416196	6.962			16.131	-1	29.029	41.1
Louisvale, South Africa	2017-01-21T23:45:00+00:00	10.763	3.075	2.442	3.5	317.089		50	21.2	-28.5
Port Stanley, Falkland Islands	2017-01-21T23:00:00+00:00	22.361	3.022	16.311	7.4	292.1	2.01	50	302.1	-51.6
Madimbo, South Africa	2016-06-01T23:45:00+00:00	8.486	3.058	1.864	2.775	317.014		100	30.88	-22.39
PB671	2015-07-20T09:40:00+00:00						1.838	-1	170.92	70.83
LO168	2015-06-10T06:55:00+00:00	14.6877075117143	2.45490682127935		5.983	450.114		-1	35.02	68
