Station,Time,MUFD,M(D),TEC,foF2,hmF2,foE,Confidence,Longitude,Latitude
"Austin, TX, USA",2022-12-13T18:10:05+00:00,29.296,3.447,16.717,8.5,223.3,3.42,75,262.3,30.4
"Boulder, CO, USA",2022-12-13T18:00:05+00:00,31.919,3.547,12.865,9.0,232.3,,75,254.7,40.0
"Millstone Hill, MA, USA",2022-12-13T18:00:00+00:00,35.052,3.37,,10.4,246.411,3.005,90,288.5,42.6
"Alpena MI, USA",2022-12-13T18:00:00+00:00,33.321,3.462,,9.625,230.311,2.75,90,276.44,45.07
"Eglin AFB, FL, USA",2022-12-13T18:00:00+00:00,27.204,3.872,,7.025,183.925,3.2,45,273.5,30.5
"Pt Arguello, CA, USA",2022-12-13T18:00:00+00:00,34.413,3.632,,9.475,225.28,3.125,95,239.5,34.8
"Wallops Island, VA, USA",2022-12-13T17:55:08+00:00,31.858,3.389,18.953,9.4,237.4,3.06,0,284.5,37.9
"Idaho Natl Lab, ID, USA",2022-12-13T17:45:00+00:00,29.194,3.672,9.192,7.963,222.388,3.03,75,247.32,43.81
"Guam, USA",2022-09-19T12:52:30+00:00,26.92,3.234,7.67,8.325,313.185,,0,144.86,13.62
"Wallops Island, VA, USA WI937",2021-12-06T22:00:01+00:00,15.5452144697038,3.48547409634614,3.572,4.46,232.338,,-1,284.422,37.936
